State,Population,area,gdp_2021,gdp_2020,Cases_211201,Deaths_211201,geometry,centroid
Tennessee,"6,829,174",109153,411689,379454,1318572,17196,"POLYGON ((-81.679376 36.585571, -81.704775 36.460152, -81.693664 36.317293, -81.89739899999999 36.27391, -82.051394 36.106143, -82.22389 36.125728, -82.593248 35.937342, -82.67422500000001 36.025192, -82.925579 35.889722, -82.920282 35.81722, -83.110787 35.737328, -83.209722 35.648961, -83.438338 35.562687, -83.67328500000001 35.51667, -83.87596000000001 35.490211, -84.01776 35.369004, -84.087084 35.261595, -84.298751 35.198627, -84.320972 34.98696, -84.854376 34.976909, -85.625388 34.985901, -86.909677 34.99913, -88.16696399999999 34.999673, -89.263926 35.021351, -90.24924 35.020834, -90.13493200000001 35.113955, -90.147102 35.404997, -89.988894 35.536229, -89.950266 35.701878, -89.775109 35.799236, -89.673513 35.940003, -89.662919 36.023073, -89.585121 36.267011, -89.524272 36.409354, -89.498356 36.506196, -88.06960599999999 36.497204, -88.072784 36.654378, -87.874346 36.656497, -87.842049 36.61097, -87.216583 36.639004, -86.677882 36.633733, -86.09262099999999 36.625775, -85.519012 36.597741, -85.231149 36.60991, -84.35009100000001 36.567045, -83.67328500000001 36.599859, -82.186322 36.565985, -81.679376 36.585571))",POINT (-86.32269355037511 35.83900728935029)
Arizona,"7,278,717",295234,400156,377476,1272943,22350,"POLYGON ((-109.045225 36.999912, -109.043673 31.341899, -111.023786 31.334651, -113.305016 32.038975, -114.814743 32.525276, -114.72139 32.72083, -114.589848 32.716298, -114.479777 32.916337, -114.655993 33.0539, -114.691443 33.203684, -114.743301 33.379875, -114.548558 33.609525, -114.469183 34.067275, -114.165972 34.272585, -114.354901 34.464667, -114.484531 34.653053, -114.567084 34.82821, -114.62212 34.96368, -114.642222 35.053106, -114.580856 35.249425, -114.630052 35.445227, -114.650697 35.63891, -114.65018 35.854272, -114.739606 35.991318, -114.671341 36.114618, -114.460734 36.114618, -114.269169 36.043692, -114.13264 36.004004, -114.066495 36.156424, -114.023629 36.189755, -114.030528 36.994099, -112.417603 37.009421, -110.496221 37.007328, -109.045225 36.999912))",POINT (-111.6594636231518 34.29559516366692)
New Jersey,"8,882,190",22591,671483,641666,1255893,28409,"POLYGON ((-73.912796 40.960187, -73.952325 40.75075, -74.256754 40.47337, -73.96244 40.42763, -74.178438 39.709256, -74.906042 38.939303, -74.98066300000001 39.196497, -75.200262 39.248354, -75.52781299999999 39.498649, -75.554272 39.691247, -75.405573 39.795504, -75.200805 39.887049, -75.12882 39.9495, -74.89175400000001 40.081791, -74.763183 40.190777, -75.078022 40.449547, -75.095488 40.55538, -75.203957 40.586619, -75.199203 40.747461, -75.08225899999999 40.869702, -75.135718 40.999875, -74.975909 41.087725, -74.80126799999999 41.311561, -74.679028 41.355486, -73.912796 40.960187))",POINT (-74.67054382130129 40.20571097922734)
Indiana,"6,732,219",94326,415344,381902,1107189,17621,"POLYGON ((-84.80675599999999 41.677741, -84.809934 40.77286, -84.817866 39.799742, -84.82368 39.106528, -84.881377 39.059425, -84.79988299999999 38.855174, -84.843265 38.781096, -85.01155 38.779494, -85.167638 38.691127, -85.40418699999999 38.72712, -85.42589099999999 38.535038, -85.566632 38.461994, -85.698407 38.290015, -85.83969 38.258802, -86.059832 37.960887, -86.262507 38.046619, -86.325475 38.169376, -86.499573 37.969879, -86.61015999999999 37.858749, -86.82552200000001 37.976235, -87.05571399999999 37.88097, -87.131394 37.783611, -87.43935999999999 37.936005, -87.653662 37.826477, -87.911373 37.90425, -87.921424 37.793662, -88.05108 37.819604, -88.01880800000001 38.021736, -87.878558 38.290557, -87.67112899999999 38.50858, -87.598653 38.674203, -87.51504 38.735052, -87.507082 38.869462, -87.559999 39.040382, -87.64203500000001 39.113944, -87.52826899999999 39.392273, -87.52721 40.550083, -87.526151 41.708436, -87.521371 41.760836, -87.22133700000001 41.760836, -86.918126 41.760836, -86.824462 41.760836, -86.824462 41.756056, -85.74814600000001 41.751302, -84.807299 41.756056, -84.80675599999999 41.677741))",POINT (-86.28480494866523 39.9127116226058)
Wisconsin,"5,822,434",169635,363586,348021,986229,10048,"POLYGON ((-86.48156299999999 45.323177, -86.2646 45.226878, -86.401672 45.133214, -86.53608199999999 45.04167, -86.714934 44.84641, -86.822344 44.591335, -86.918668 44.361685, -87.03243399999999 44.091288, -87.083232 43.89019, -87.14196200000001 43.657878, -87.14514 43.571088, -87.155191 43.326632, -87.113928 43.030294, -87.079537 42.782118, -87.03930699999999 42.492652, -87.48964100000001 42.495313, -87.80659900000001 42.49689, -87.80659900000001 42.494254, -88.57655200000001 42.503246, -89.620054 42.505364, -90.640818 42.505364, -90.73817699999999 42.658275, -91.064694 42.754083, -91.129238 42.912833, -91.169985 43.002233, -91.173163 43.212324, -91.083737 43.288004, -91.21391 43.446754, -91.228199 43.501247, -91.25465699999999 43.613979, -91.25729200000001 43.854739, -91.28959 43.937293, -91.627709 44.085449, -91.879606 44.257428, -91.949989 44.364838, -92.062153 44.432585, -92.385492 44.574928, -92.505072 44.58392, -92.796656 44.776027, -92.76647699999999 44.996143, -92.765417 45.267082, -92.689221 45.518436, -92.899828 45.705763, -92.756968 45.889912, -92.5437 45.985695, -92.296583 46.096282, -92.26482799999999 46.095223, -92.274879 46.656145, -92.011898 46.711723, -91.964794 46.729706, -91.84097800000001 46.778385, -91.716618 46.827607, -91.592259 46.87626, -91.468442 46.924966, -91.264708 47.021265, -91.060974 47.117047, -90.857782 47.212829, -90.654048 47.309128, -90.47995 47.303857, -90.305852 47.298018, -90.131754 47.292747, -89.957656 47.286907, -90.01481 47.1996, -90.071448 47.11175, -90.12805899999999 47.0239, -90.185213 46.936076, -90.24182500000001 46.848226, -90.298979 46.760919, -90.35559000000001 46.673069, -90.395278 46.611677, -90.41062599999999 46.584185, -90.39688 46.576253, -90.334971 46.596872, -90.333912 46.593694, -90.176738 46.560879, -90.096304 46.380994, -89.22105999999999 46.202116, -88.644274 46.022204, -88.361707 46.020628, -88.16696399999999 46.007916, -88.111929 45.843352, -87.875406 45.779842, -87.787013 45.639618, -87.847888 45.559183, -87.893389 45.396713, -87.673248 45.387747, -87.747326 45.226878, -87.613975 45.108875, -87.612915 45.110451, -87.459462 45.068128, -87.419775 45.184012, -87.24461700000001 45.289846, -87.115504 45.452291, -86.942465 45.452291, -86.774207 45.452291, -86.48156299999999 45.323177))",POINT (-89.72990552881946 44.6509640221002)
Virginia,"8,535,519",110787,586250,562718,971529,14730,"POLYGON ((-78.345625 39.405504, -77.83498400000001 39.134562, -77.722795 39.322432, -77.576216 39.288561, -77.44340699999999 39.213423, -77.51696800000001 39.105986, -77.305819 39.045679, -77.119551 38.934008, -77.03648 38.848276, -77.041235 38.789545, -77.059217 38.708593, -77.22962200000001 38.614416, -77.343388 38.391611, -77.210579 38.337118, -77.048107 38.380503, -76.989895 38.239733, -76.301619 37.917948, -76.25873900000001 36.966402, -75.9718 36.897261, -75.868076 36.55118, -76.941216 36.545885, -77.999548 36.537436, -79.992397 36.542189, -81.67937499999999 36.585573, -82.18632100000001 36.565985, -83.67328500000001 36.599859, -83.384361 36.656496, -83.17850900000001 36.718382, -83.089083 36.815763, -82.81550799999999 36.934828, -82.709131 37.040144, -82.684792 37.121096, -82.372589 37.238039, -81.97253600000001 37.535952, -81.928095 37.366091, -81.815388 37.275606, -81.663511 37.195173, -81.348129 37.315836, -81.228008 37.245455, -80.854929 37.329065, -80.833252 37.418493, -80.72000300000001 37.383043, -80.596186 37.45606, -80.45699500000001 37.441774, -80.298244 37.51903, -80.276567 37.610575, -80.292974 37.72806, -80.157505 37.901098, -79.96436300000001 38.03179, -79.915142 38.179426, -79.743679 38.357222, -79.64792300000001 38.574728, -79.515089 38.497446, -79.36639 38.426027, -79.222988 38.464632, -79.174826 38.555658, -79.076408 38.680017, -78.965277 38.821817, -78.89280100000001 38.780039, -78.744619 38.909151, -78.54884300000001 39.039839, -78.42448400000001 39.139318, -78.345625 39.405504))",POINT (-78.85604974959209 37.50433023677937)
Massachusetts,"6,892,503",27336,625113,600740,924400,19430,"POLYGON ((-69.884799 41.922764, -69.96520700000001 41.636994, -70.639895 41.475066, -71.12038200000001 41.494651, -71.14790000000001 41.647587, -71.305074 41.762412, -71.379152 42.02436, -71.800909 42.01325, -72.73222199999999 42.035987, -73.49793699999999 42.054513, -73.282033 42.743489, -72.45707 42.727082, -71.24897900000001 42.718091, -71.145781 42.816508, -70.933598 42.884256, -70.81505199999999 42.865187, -70.825103 42.334961, -70.494916 41.804735, -70.08005799999999 41.779879, -70.184832 42.144999, -69.884799 41.922764))",POINT (-71.73571915856607 42.23766675939634)
South Carolina,"5,148,714",82933,266079,247817,919184,14233,"POLYGON ((-78.554114 33.861422, -79.06067 33.49395, -79.20357 33.15839, -80.30132500000001 32.509355, -80.86500700000001 32.033161, -81.03644300000001 32.084476, -81.127988 32.121528, -81.126412 32.312033, -81.22483 32.49936, -81.411098 32.608888, -81.376707 32.68245, -81.435954 32.793037, -81.507397 33.021628, -81.827015 33.223244, -81.943442 33.461369, -82.180508 33.624356, -82.249289 33.748716, -82.59748500000001 33.985781, -82.716548 34.163057, -82.902815 34.479498, -83.07637099999999 34.540347, -83.346251 34.706512, -83.185925 34.895958, -83.07637099999999 34.979028, -82.976377 35.008664, -82.436616 35.180101, -81.51427 35.171652, -81.04597800000001 35.125608, -81.03802 35.037242, -80.937483 35.103387, -80.780852 34.934044, -80.783513 34.817643, -79.67278 34.807566, -78.554114 33.861422))",POINT (-80.88367780235566 33.90150032004072)
Missouri,"6,137,428",180540,359034,330287,910414,15444,"POLYGON ((-94.617501 36.999912, -94.622798 36.999912, -94.615382 38.068839, -94.604814 39.139859, -94.867796 39.234582, -94.991096 39.444673, -95.06729199999999 39.539912, -94.926552 39.725121, -94.95510299999999 39.870125, -95.085302 39.868006, -95.322884 40.001357, -95.45254 40.215143, -95.60811200000001 40.343171, -95.776371 40.501404, -95.796499 40.583957, -94.89849100000001 40.58344, -94.00208600000001 40.585017, -92.851665 40.592432, -91.758425 40.61411, -91.567403 40.452208, -91.430331 40.368596, -91.51763800000001 40.119877, -91.428212 39.820903, -91.26258900000001 39.61505, -91.071567 39.44519, -90.841375 39.310779, -90.749287 39.265278, -90.665701 39.074773, -90.64981 38.907548, -90.535528 38.865768, -90.346599 38.930311, -90.156094 38.769443, -90.21273100000001 38.584777, -90.305335 38.439256, -90.369879 38.263556, -90.22807899999999 38.113281, -90.030158 37.971998, -89.916909 37.968277, -89.65498700000001 37.748678, -89.55390800000001 37.719042, -89.479287 37.477222, -89.516339 37.326921, -89.388285 37.081406, -89.280333 37.107348, -89.10305700000001 36.952293, -89.13427 36.851756, -89.115227 36.694582, -89.273977 36.611512, -89.498356 36.506196, -89.524272 36.409354, -89.585121 36.267011, -89.662919 36.023073, -90.315386 36.023073, -90.253995 36.12255, -90.14180500000001 36.230502, -90.029099 36.337937, -90.112194 36.461754, -91.251479 36.523146, -92.307177 36.523662, -93.412587 36.526298, -94.62861100000001 36.540586, -94.617501 36.999912))",POINT (-92.47936411768325 38.37951684286468)
Minnesota,"5,639,632",225163,407395,384500,905515,9606,"POLYGON ((-89.59940899999999 48.010274, -89.488885 48.013439, -89.522695 47.960535, -89.613698 47.819252, -89.72800599999999 47.641976, -89.842831 47.464726, -89.957656 47.286907, -90.131754 47.292747, -90.305852 47.298018, -90.47995 47.303857, -90.654048 47.309128, -90.857782 47.212829, -91.060974 47.117047, -91.264708 47.021265, -91.468442 46.924966, -91.592259 46.87626, -91.716618 46.827607, -91.84097800000001 46.778385, -91.964794 46.729706, -92.011898 46.711723, -92.274879 46.656145, -92.26482799999999 46.095223, -92.296583 46.096282, -92.5437 45.985695, -92.756968 45.889912, -92.899828 45.705763, -92.689221 45.518436, -92.765417 45.267082, -92.76647699999999 44.996143, -92.796656 44.776027, -92.505072 44.58392, -92.385492 44.574928, -92.062153 44.432585, -91.949989 44.364838, -91.879606 44.257428, -91.627709 44.085449, -91.28959 43.937293, -91.25729200000001 43.854739, -91.25465699999999 43.613979, -91.228199 43.501247, -92.54000499999999 43.519773, -94.00102699999999 43.513417, -95.359936 43.500187, -96.45265999999999 43.501789, -96.439431 44.435763, -96.56061200000001 45.393018, -96.735769 45.470817, -96.834704 45.625329, -96.780728 45.760799, -96.55689099999999 45.872446, -96.539451 46.017967, -96.53890800000001 46.19948, -96.601359 46.351357, -96.68548800000001 46.513285, -96.73365099999999 46.716477, -96.74581999999999 46.944525, -96.77969400000001 46.999044, -96.820415 47.292204, -96.824653 47.426614, -96.844238 47.546194, -96.89397700000001 47.748869, -97.015158 47.954205, -97.13104199999999 48.137295, -97.148509 48.318782, -97.161221 48.514584, -97.127348 48.642122, -97.120475 48.758523, -97.21413800000001 48.902442, -97.228943 49.000885, -95.15883700000001 48.999826, -95.15620199999999 49.384014, -94.81753999999999 49.389285, -94.640264 48.840017, -94.32912 48.670673, -93.63061 48.609281, -92.609846 48.450015, -91.63987899999999 48.13993, -90.830264 48.270103, -89.599952 48.010274, -89.59940899999999 48.010274))",POINT (-94.17743613148068 46.3600731105022)
Alabama,"4,903,185",135767,243555,229831,846297,16143,"POLYGON ((-85.05441500000001 31.108696, -85.00519300000001 30.990693, -87.045663 30.984879, -87.617153 30.927725, -87.633043 30.851528, -87.40496899999999 30.608649, -87.457886 30.411271, -87.530388 30.274199, -88.41780199999999 30.384812, -88.44953099999999 31.91198, -88.27334 33.510048, -88.095522 34.805989, -88.16696399999999 34.999673, -86.909677 34.99913, -85.625388 34.985901, -85.365559 33.744478, -85.129553 32.750714, -84.98615100000001 32.437969, -84.898843 32.259117, -85.063924 32.083417, -85.119502 31.7654, -85.06552600000001 31.577013, -85.09038200000001 31.40028, -85.11790000000001 31.236233, -85.05441500000001 31.108696))",POINT (-86.82817817745598 32.77370876125261)
Colorado,"5,758,736",269601,416937,400041,832625,9521,"POLYGON ((-102.050174 40.000815, -102.040123 38.459875, -102.041182 36.99198, -103.003216 36.995158, -104.200198 36.996192, -105.899861 36.997277, -107.479971 36.999912, -109.045225 36.999912, -109.053183 41.001994, -108.050944 41.002536, -107.049739 41.002536, -105.046864 41.003596, -104.045142 41.004112, -102.048055 41.004112, -102.050174 40.033086, -102.050174 40.000815))",POINT (-105.5454406170272 39.00007611554133)
Kentucky,"4,467,673",104656,234311,216580,789225,10987,"POLYGON ((-81.97253600000001 37.535952, -82.372589 37.238037, -82.684792 37.121094, -82.709132 37.040143, -82.81550799999999 36.934826, -83.089083 36.815763, -83.17850900000001 36.718379, -83.384362 36.656497, -83.67328500000001 36.599859, -84.35009100000001 36.567045, -85.231149 36.60991, -85.519012 36.597741, -86.09262099999999 36.625775, -86.677882 36.633733, -87.216583 36.639004, -87.842049 36.61097, -87.874346 36.656497, -88.072784 36.654378, -88.06960599999999 36.497204, -89.498356 36.506196, -89.273977 36.611512, -89.115227 36.694582, -89.13427 36.851756, -89.10305700000001 36.952293, -89.141685 37.103627, -89.07396300000001 37.200469, -88.807778 37.146493, -88.566475 37.053888, -88.435242 37.136442, -88.473871 37.354981, -88.247399 37.438594, -88.071725 37.511612, -88.15743000000001 37.605819, -88.044207 37.744983, -88.05108 37.819604, -87.921424 37.793662, -87.911373 37.90425, -87.653662 37.826477, -87.43935999999999 37.936005, -87.131394 37.783611, -87.05571399999999 37.88097, -86.82552200000001 37.976235, -86.61015999999999 37.858749, -86.499573 37.969879, -86.325475 38.169376, -86.262507 38.046619, -86.059832 37.960887, -85.83969 38.258802, -85.698407 38.290015, -85.566632 38.461994, -85.42589099999999 38.535038, -85.40418699999999 38.72712, -85.167638 38.691127, -85.01155 38.779494, -84.843265 38.781096, -84.79988299999999 38.855174, -84.881377 39.059425, -84.82368 39.106528, -84.481324 39.083248, -84.30459 38.986923, -84.038948 38.760994, -83.82673800000001 38.690068, -83.672742 38.609117, -83.434617 38.637151, -83.258943 38.57948, -83.044641 38.634515, -82.85519499999999 38.65144, -82.775278 38.511216, -82.58901 38.415433, -82.56996700000001 38.320194, -82.580561 38.113281, -82.461499 37.957167, -82.413336 37.805315, -82.26729899999999 37.675659, -82.16727899999999 37.554478, -81.97253600000001 37.535952))",POINT (-85.27783705170887 37.51394425327197)
Washington,"7,614,893",184661,661520,625121,777776,9356,"POLYGON ((-116.998073 46.33017, -116.906528 46.177776, -116.915003 45.999983, -118.978236 45.992568, -119.337 45.888336, -119.59205 45.932235, -119.787309 45.850768, -120.158268 45.740671, -120.609636 45.7539, -120.837193 45.672949, -121.046741 45.637499, -121.203889 45.689899, -121.561077 45.732764, -121.788091 45.700983, -122.174915 45.59515, -122.420456 45.591998, -122.651708 45.630083, -122.725786 45.770333, -122.752244 45.938075, -122.937969 46.129097, -123.228494 46.186251, -123.471373 46.277253, -123.776704 46.282033, -123.998676 46.283069, -124.079635 46.86475, -124.39567 47.72017, -124.68721 48.184433, -124.566101 48.379715, -123.12 48.04, -122.587138 47.095885, -122.340021 47.359952, -122.499831 48.18016, -122.84 49, -120.002696 49.000885, -117.03143 48.999309, -117.02665 47.722927, -116.998073 46.33017))",POINT (-120.3983686256033 47.37975252334023)
Louisiana,"4,648,794",135659,253315,250976,771837,14808,"POLYGON ((-89.21767 29.29108, -89.408387 29.159771, -89.77928 29.30714, -90.15463 29.11743, -90.880225 29.148535, -91.626785 29.677, -92.49906 29.5523, -93.22637 29.78375, -93.84842 29.71363, -93.918474 29.821772, -93.816878 29.968352, -93.66712 30.100644, -93.664484 30.30014, -93.737503 30.366803, -93.650195 30.605471, -93.586168 30.71394, -93.48984400000001 31.079602, -93.578236 31.216131, -93.69412 31.443662, -93.779309 31.675431, -93.834861 31.829944, -93.998908 31.94265, -94.059757 33.01212, -93.09402799999999 33.010518, -92.001304 33.043875, -91.156239 33.010001, -91.08479699999999 32.952847, -91.175799 32.808385, -91.03082000000001 32.602532, -91.072084 32.478716, -90.942971 32.306736, -91.08161800000001 32.204598, -91.128179 32.015695, -91.32132 31.85958, -91.411288 31.650032, -91.50229 31.408729, -91.624531 31.297082, -91.58378399999999 31.04733, -90.701667 31.015575, -89.759219 31.013456, -89.787796 30.847291, -89.85394100000001 30.683244, -89.790457 30.556791, -89.658682 30.440881, -89.623232 30.275258, -89.60470599999999 30.176298, -89.413735 29.89419, -89.43000000000001 29.48864, -89.21767 29.29108))",POINT (-91.9572062806498 31.04807788525712)
Oklahoma,"3,956,971",181037,205559,195606,667512,11269,"POLYGON ((-94.62861100000001 36.540586, -94.43017399999999 35.483312, -94.45136100000001 34.51071, -94.479912 33.635983, -94.910144 33.831785, -95.190592 33.938161, -95.41812400000001 33.870414, -95.769498 33.881007, -95.977469 33.879431, -96.148906 33.797937, -96.316131 33.756131, -96.462711 33.805327, -96.796618 33.751351, -96.947953 33.918059, -97.104067 33.773598, -97.376583 33.838142, -97.657031 33.993713, -97.95708999999999 33.893694, -98.088323 34.13448, -98.553979 34.110657, -98.851893 34.164633, -99.187403 34.235559, -99.33607600000001 34.442963, -99.59908299999999 34.3763, -99.761528 34.457794, -100.000195 34.565229, -100.000195 35.519848, -100.000195 36.499323, -101.000832 36.499323, -102.001495 36.499323, -103.001614 36.499323, -103.003216 36.995158, -102.041182 36.99198, -101.099792 36.993039, -100.100215 36.994099, -99.10007 36.995158, -97.29984399999999 36.997277, -95.50015999999999 36.998853, -94.622798 36.999912, -94.617501 36.999912, -94.62861100000001 36.540586))",POINT (-97.50419781944721 35.58149587398539)
Utah,"3,205,958",219882,212855,195594,598098,3545,"POLYGON ((-109.053183 41.001994, -109.045225 36.999912, -110.496221 37.007328, -112.417603 37.009421, -114.030528 36.994099, -114.034223 41.993122, -111.050245 42.001597, -111.054482 41.027935, -109.053183 41.001994))",POINT (-111.6692010561415 39.32876399917541)
Maryland,"6,045,680",32131,443729,431772,587285,11220,"POLYGON ((-75.048385 38.448765, -75.05673 38.40412, -75.377538 38.01538, -75.60984999999999 38.000032, -75.72205 37.93705, -76.23287000000001 38.319215, -76.34999999999999 39.15, -76.542725 38.717615, -76.32933 38.08326, -76.989895 38.239733, -77.048108 38.3805, -77.210579 38.337118, -77.34338700000001 38.39161, -77.22962200000001 38.614413, -77.059219 38.708594, -77.041235 38.789545, -76.911579 38.878454, -77.0386 38.982169, -77.119551 38.934006, -77.305818 39.045679, -77.51696800000001 39.105985, -77.44340699999999 39.213421, -77.576215 39.288558, -77.722796 39.322432, -77.801654 39.449944, -77.92335199999999 39.592829, -78.23240300000001 39.672204, -78.42500099999999 39.596524, -78.534012 39.522446, -78.829291 39.56265, -78.963159 39.457902, -79.16108 39.418214, -79.332516 39.302847, -79.485995 39.213421, -79.477521 39.720883, -78.549903 39.719824, -78.232919 39.7214, -77.52329899999999 39.725663, -76.668183 39.720883, -75.78764200000001 39.723545, -75.714624 38.449307, -75.048385 38.448765))",POINT (-76.76998033403027 39.03327287391183)
Iowa,"3,155,070",145746,220929,196503,570581,7445,"POLYGON ((-90.15663600000001 42.103735, -90.21007 41.834914, -90.395278 41.608417, -90.461966 41.536457, -90.690557 41.478786, -91.03399899999999 41.429565, -91.123425 41.257585, -90.999065 41.179812, -90.95674200000001 41.024757, -91.08743200000001 40.851719, -91.15412000000001 40.699842, -91.410229 40.551143, -91.430331 40.368596, -91.567403 40.452208, -91.758425 40.61411, -92.851665 40.592432, -94.00208600000001 40.585017, -94.89849100000001 40.58344, -95.796499 40.583957, -95.86210199999999 40.764928, -95.834067 40.943806, -95.855746 41.116302, -95.958427 41.404708, -96.02508899999999 41.524287, -96.097049 41.556559, -96.10446399999999 41.787811, -96.16743200000001 41.953434, -96.348945 42.141821, -96.346827 42.224374, -96.41031099999999 42.38948, -96.455296 42.488957, -96.45371900000001 42.580502, -96.61564799999999 42.691632, -96.535213 42.855679, -96.483356 43.016005, -96.45953299999999 43.1245, -96.58707 43.257308, -96.586011 43.501247, -96.45265999999999 43.501789, -95.359936 43.500187, -94.00102699999999 43.513417, -92.54000499999999 43.519773, -91.228199 43.501247, -91.21391 43.446754, -91.083737 43.288004, -91.173163 43.212324, -91.169985 43.002233, -91.129238 42.912833, -91.064694 42.754083, -90.73817699999999 42.658275, -90.640818 42.505364, -90.582605 42.429168, -90.464602 42.37837, -90.416982 42.270418, -90.25980800000001 42.189983, -90.15663600000001 42.103735))",POINT (-93.50644405909699 42.08388594038028)
Arkansas,"3,017,804",137732,143438,131818,529768,8687,"POLYGON ((-89.662919 36.023073, -89.673513 35.940003, -89.775109 35.799236, -89.950266 35.701878, -89.988894 35.536229, -90.147102 35.404997, -90.13493200000001 35.113955, -90.24924 35.020834, -90.268283 34.941459, -90.446618 34.866838, -90.45031299999999 34.72186, -90.58420700000001 34.454099, -90.699549 34.397461, -90.87630799999999 34.261475, -90.982141 34.055105, -91.200681 33.706393, -91.223444 33.469327, -91.10807699999999 33.206836, -91.156239 33.010001, -92.001304 33.043875, -93.09402799999999 33.010518, -94.059757 33.01212, -94.00208600000001 33.579914, -94.233338 33.583609, -94.427538 33.57038, -94.479912 33.635983, -94.45136100000001 34.51071, -94.43017399999999 35.483312, -94.62861100000001 36.540586, -93.412587 36.526298, -92.307177 36.523662, -91.251479 36.523146, -90.112194 36.461754, -90.029099 36.337937, -90.14180500000001 36.230502, -90.253995 36.12255, -90.315386 36.023073, -89.662919 36.023073))",POINT (-92.44486409076437 34.92180797874408)
Mississippi,"2,976,149",125438,123781,117099,514639,10287,"POLYGON ((-88.16696399999999 34.999673, -88.095522 34.805989, -88.27334 33.510048, -88.44953099999999 31.91198, -88.41780199999999 30.384812, -89.18049000000001 30.31598, -89.59383099999999 30.159994, -89.623232 30.275258, -89.658682 30.440881, -89.790457 30.556791, -89.85394100000001 30.683244, -89.787796 30.847291, -89.759219 31.013456, -90.701667 31.015575, -91.58378399999999 31.04733, -91.624531 31.297082, -91.50229 31.408729, -91.411288 31.650032, -91.32132 31.85958, -91.128179 32.015695, -91.08161800000001 32.204598, -90.942971 32.306736, -91.072084 32.478716, -91.03082000000001 32.602532, -91.175799 32.808385, -91.08479699999999 32.952847, -91.156239 33.010001, -91.10807699999999 33.206836, -91.223444 33.469327, -91.200681 33.706393, -90.982141 34.055105, -90.87630799999999 34.261475, -90.699549 34.397461, -90.58420700000001 34.454099, -90.45031299999999 34.72186, -90.446618 34.866838, -90.268283 34.941459, -90.24924 35.020834, -89.263926 35.021351, -88.16696399999999 34.999673))",POINT (-89.66251316150421 32.7670781435095)
Nevada,"3,080,156",286380,187394,180034,471484,8032,"POLYGON ((-114.030528 36.994099, -114.023629 36.189755, -114.066495 36.156424, -114.13264 36.004004, -114.269169 36.043692, -114.460734 36.114618, -114.671341 36.114618, -114.739606 35.991318, -114.65018 35.854272, -114.650697 35.63891, -114.630052 35.445227, -114.580856 35.249425, -114.642222 35.053106, -116.32075 36.322047, -118.11462 37.644421, -120.000035 38.995398, -119.998976 41.992605, -117.028252 41.997359, -117.028252 42.000021, -114.034223 41.993122, -114.030528 36.994099))",POINT (-116.65016539274 39.34805194588738)
Kansas,"2,913,314",213100,193139,177917,469767,6705,"POLYGON ((-94.604814 39.139859, -94.615382 38.068839, -94.622798 36.999912, -95.50015999999999 36.998853, -97.29984399999999 36.997277, -99.10007 36.995158, -100.100215 36.994099, -101.099792 36.993039, -102.041182 36.99198, -102.040123 38.459875, -102.050174 40.000815, -102.048055 40.000815, -100.300229 40.000815, -99.00007600000001 40.000815, -96.699777 40.001357, -95.322884 40.001357, -95.085302 39.868006, -94.95510299999999 39.870125, -94.926552 39.725121, -95.06729199999999 39.539912, -94.991096 39.444673, -94.867796 39.234582, -94.604814 39.139859))",POINT (-98.38015613904983 38.48292994724243)
Connecticut,"3,565,287",14357,294649,288368,422785,8865,"POLYGON ((-72.876166 41.220559, -73.647887 40.953239, -73.65668700000001 40.98507, -73.69268 41.10731, -73.475174 41.204669, -73.553489 41.289857, -73.49793699999999 42.054513, -72.73222199999999 42.035987, -71.800909 42.01325, -71.792951 41.466617, -71.853826 41.320036, -72.295142 41.269755, -72.876166 41.220559))",POINT (-72.73828030385047 41.60582941012184)
Oregon,"4,217,737",254799,264113,257688,392197,5186,"POLYGON ((-117.028252 42.000021, -117.028252 41.997359, -119.998976 41.992605, -124.213809 41.999478, -124.53284 42.76599, -124.14214 43.70838, -123.89893 45.52341, -123.998676 46.283069, -123.776704 46.282033, -123.471373 46.277253, -123.228494 46.186251, -122.937969 46.129097, -122.752244 45.938075, -122.725786 45.770333, -122.651708 45.630083, -122.420456 45.591998, -122.174915 45.59515, -121.788091 45.700983, -121.561077 45.732764, -121.203889 45.689899, -121.046741 45.637499, -120.837193 45.672949, -120.609636 45.7539, -120.158268 45.740671, -119.787309 45.850768, -119.59205 45.932235, -119.337 45.888336, -118.978236 45.992568, -116.915003 45.999983, -116.678997 45.807359, -116.511255 45.726408, -116.457796 45.574531, -116.558875 45.444358, -116.693285 45.186648, -116.836145 44.863851, -117.051532 44.665956, -117.192299 44.438942, -117.194391 44.279132, -117.007607 44.21141, -116.926656 44.081211, -117.013963 43.797069, -117.028252 42.000021))",POINT (-120.5393343136241 43.94483221860701)
New Mexico,"2,096,829",314917,108241,104462,316089,5379,"POLYGON ((-103.001614 33.879948, -103.001614 31.999287, -103.929775 31.999287, -105.730001 31.999287, -106.630127 31.999287, -106.619533 31.914099, -106.507344 31.754289, -108.24 31.754854, -108.241966 31.342067, -109.043673 31.341899, -109.045225 36.999912, -107.479971 36.999912, -105.899861 36.997277, -104.200198 36.996192, -103.003216 36.995158, -103.001614 36.499323, -103.001614 33.879948))",POINT (-106.0861299608479 34.41655909874485)
