Company,Symbol,Weight,wgcat,Price
Juniper Networks Inc.,JNPR,0.028301,5 < 0.1%,   28.87
BorgWarner Inc.,BWA,0.028275,5 < 0.1%,   38.63
F5 Inc.,FFIV,0.028203,5 < 0.1%,   156.28
Organon & Co.,OGN,0.028158,5 < 0.1%,   37.56
Nielsen Holdings Plc,NLSN,0.027711,5 < 0.1%,   25.50
Fortune Brands Home & Security Inc.,FBHS,0.027699,5 < 0.1%,   66.77
Lamb Weston Holdings Inc.,LW,0.027361,5 < 0.1%,   63.17
Sealed Air Corporation,SEE,0.027107,5 < 0.1%,   59.89
Lincoln National Corporation,LNC,0.027106,5 < 0.1%,   52.65
Globe Life Inc.,GL,0.026553,5 < 0.1%,   93.56
Universal Health Services Inc. Class B,UHS,0.026306,5 < 0.1%,   120.93
Pinnacle West Capital Corporation,PNW,0.025905,5 < 0.1%,   75.31
Tapestry Inc.,TPR,0.024802,5 < 0.1%,   31.37
DENTSPLY SIRONA Inc.,XRAY,0.024639,5 < 0.1%,   37.75
Huntington Ingalls Industries Inc.,HII,0.024339,5 < 0.1%,   197.76
Pentair plc,PNR,0.024229,5 < 0.1%,   48.96
Zions Bancorporation N.A.,ZION,0.023944,5 < 0.1%,   51.99
Mohawk Industries Inc.,MHK,0.02355,5 < 0.1%,   135.12
Federal Realty Investment Trust,FRT,0.023549,5 < 0.1%,   109.40
A. O. Smith Corporation,AOS,0.023533,5 < 0.1%,   57.77
Rollins Inc.,ROL,0.023136,5 < 0.1%,   35.28
Ceridian HCM Holding Inc.,CDAY,0.022673,5 < 0.1%,   56.60
Newell Brands Inc,NWL,0.02263,5 < 0.1%,   19.45
DXC Technology Co.,DXC,0.022571,5 < 0.1%,   29.60
Franklin Resources Inc.,BEN,0.020849,5 < 0.1%,   26.00
News Corporation Class A,NWSA,0.020835,5 < 0.1%,   17.68
Norwegian Cruise Line Holdings Ltd.,NCLH,0.02017,5 < 0.1%,   15.42
Wynn Resorts Limited,WYNN,0.020118,5 < 0.1%,   63.00
Invesco Ltd.,IVZ,0.018592,5 < 0.1%,   18.57
Alaska Air Group Inc.,ALK,0.017673,5 < 0.1%,   45.00
DaVita Inc.,DVA,0.017621,5 < 0.1%,   94.43
Vornado Realty Trust,VNO,0.015956,5 < 0.1%,   33.51
DISH Network Corporation Class A,DISH,0.015446,5 < 0.1%,   20.55
Penn National Gaming Inc.,PENN,0.015423,5 < 0.1%,   31.75
PVH Corp.,PVH,0.013962,5 < 0.1%,   64.87
Fox Corporation Class B,FOX,0.013801,5 < 0.1%,   31.28
Ralph Lauren Corporation Class A,RL,0.013519,5 < 0.1%,   93.24
IPG Photonics Corporation,IPGP,0.010757,5 < 0.1%,   100.09
News Corporation Class B,NWS,0.006639,5 < 0.1%,   17.89
Under Armour Inc. Class A,UAA,0.00534,5 < 0.1%,   9.64
Under Armour Inc. Class C,UA,0.004877,5 < 0.1%,   8.39
Embecta Corporation,EMBC,0.000004,5 < 0.1%,   27.57
