City,Country,coords,alpha2,alpha3,continent,population,longitude,latitude
Brussels,Belgium,POINT (4.351697 50.8465573),BE,BEL,Europe,11491346,4.351697,50.8465573
Brisbane,Australia,POINT (153.0234991 -27.4689682),AU,AUS,Oceania,23232413,153.0234991,-27.4689682
Valencia,Spain,POINT (-0.3763353 39.4697065),ES,ESP,Europe,48958159,-0.3763353,39.4697065
BuenosAires,Argentina,POINT (-58.4370894 -34.6075682),AR,ARG,South America,44293293,-58.4370894,-34.6075682
Taipei,Taiwan,POINT (121.5636796 25.0375198),TW,TWN,Asia,23508428,121.5636796,25.0375198
Rio de Janeiro,Brazil,POINT (-43.2093727 -22.9110137),BR,BRA,South America,207353391,-43.2093727,-22.9110137
Portland,United States of America,POINT (-122.6741949 45.5202471),US,USA,North America,326625791,-122.6741949,45.5202471
Hamburg,Germany,POINT (10.000654 53.550341),DE,DEU,Europe,80594017,10.000654,53.550341
Kuwait,Kuwait,POINT (47.4979476 29.2733964),KW,KWT,Asia,2875422,47.4979476,29.2733964
Warsaw,Poland,POINT (21.0067249 52.2319581),PL,POL,Europe,38476269,21.0067249,52.2319581
Athens,Greece,POINT (23.7283052 37.9839412),GR,GRC,Europe,10768477,23.7283052,37.9839412
Perth,Australia,POINT (115.8604796 -31.9527121),AU,AUS,Oceania,23232413,115.8604796,-31.9527121
Helsinki,Finland,POINT (24.9427473 60.1674881),FI,FIN,Europe,5491218,24.9427473,60.1674881
Minneapolis,United States of America,POINT (-93.2654692 44.9772995),US,USA,North America,326625791,-93.2654692,44.9772995
Oslo,Norway,POINT (10.7389701 59.9133301),NO,NOR,Europe,5320045,10.7389701,59.9133301
Shanghai,China,POINT (121.4692071 31.2322758),CN,CHN,Asia,1379302771,121.4692071,31.2322758
Phoenix,United States of America,POINT (-112.0741417 33.4484367),US,USA,North America,326625791,-112.0741417,33.4484367
Auckland,New Zealand,POINT (174.7631803 -36.852095),NZ,NZL,Oceania,4510327,174.7631803,-36.852095
New Orleans,United States of America,POINT (-90.07011559999999 29.9499323),US,USA,North America,326625791,-90.0701156,29.9499323
Jerusalem,Israel,POINT (35.2257626 31.7788242),IL,ISR,Asia,8299706,35.2257626,31.7788242
Muscat,Oman,POINT (58.3829448 23.5882019),OM,OMN,Asia,3424386,58.3829448,23.5882019
Nashville,United States of America,POINT (-86.77429840000001 36.1622767),US,USA,North America,326625791,-86.7742984,36.1622767
Stockholm,Sweden,POINT (18.0710935 59.3251172),SE,SWE,Europe,9960487,18.0710935,59.3251172
Santiago,Chile,POINT (-83.7980749 9.869479200000001),CL,CHL,South America,17789267,-83.7980749,9.8694792
Ottawa,Canada,POINT (-75.6900574 45.4211435),CA,CAN,North America,35623680,-75.6900574,45.4211435
Baltimore,United States of America,POINT (-76.610759 39.2908816),US,USA,North America,326625791,-76.610759,39.2908816
Edmonton,Canada,POINT (-113.507996 53.535411),CA,CAN,North America,35623680,-113.507996,53.535411
Lyon,France,POINT (4.8320114 45.7578137),FR,FRA,Europe,67106161,4.8320114,45.7578137
Marseille,France,POINT (5.3699525 43.2961743),FR,FRA,Europe,67106161,5.3699525,43.2961743
Adelaide,Australia,POINT (138.5999312 -34.9281805),AU,AUS,Oceania,23232413,138.5999312,-34.9281805
Goteborg,Sweden,POINT (11.9670171 57.7072326),SE,SWE,Europe,9960487,11.9670171,57.7072326
Bilbao,Spain,POINT (-2.9350039 43.2630018),ES,ESP,Europe,48958159,-2.9350039,43.2630018
Mexico City,Mexico,POINT (-99.1331785 19.4326296),MX,MEX,North America,124574795,-99.1331785,19.4326296
SaltLake City,United States of America,POINT (145.0389862 -37.6127625),US,USA,North America,326625791,145.0389862,-37.6127625
Mumbai,India,POINT (72.8773928 19.0759899),IN,IND,Asia,1281935911,72.8773928,19.0759899
Sacramento,United States of America,POINT (-121.493895 38.5810606),US,USA,North America,326625791,-121.493895,38.5810606
San Antonio,United States of America,POINT (-98.49514050000001 29.4246002),US,USA,North America,326625791,-98.4951405,29.4246002
Tucson,United States of America,POINT (-110.9748477 32.2228765),US,USA,North America,326625791,-110.9748477,32.2228765
Seville,Spain,POINT (-5.9953403 37.3886303),ES,ESP,Europe,48958159,-5.9953403,37.3886303
Charlotte,United States of America,POINT (-80.8430827 35.2272086),US,USA,North America,326625791,-80.8430827,35.2272086
Nanjing,China,POINT (118.7788734 32.0437711),CN,CHN,Asia,1379302771,118.7788734,32.0437711
